months reported,state,county ID,agency,population,violent,property,murder,rape,robbery,assault,burglary,larceny theft,motor vehicle theft,arson
12,MO,02403,EXCELSIOR SPRINGS,1134,25,399,1,3,5,16,7,35,24,0
12,MO,02404,GLADSTONE,2633,73,739,1,1,22,4,134,515,9,3
12,MO,02405,KEARNEY,9191,11,112,0,6,0,5,16,86,1,0
12,MO,02406,LIBERTY,3316,64,55,0,7,5,52,113,379,58,9
12,MO,02407,NORTH KANSAS CITY,4345,22,313,0,0,11,11,33,228,52,0
12,MO,02408,SMITHVILLE,984,7,86,0,3,0,4,15,68,3,0
12,MO,02409,PLEASANT VALLEY,348,4,43,0,1,0,3,6,28,9,0
12,MO,02410,OAKVIEW VILLAGE,391,2,1,0,0,0,2,0,1,0,0
12,MO,02415,MOSBY,199,1,16,0,0,0,1,2,14,0,0
12,MO,02417,RANDOLPH,55,2,24,0,0,0,2,3,13,8,0
12,MO,02503,HOLT,395,2,3,0,0,0,2,0,2,1,0
12,MO,08903,LAWSON,148,0,2,0,0,0,0,0,2,0,0
12,MO,02400,CLAY,1788,54,21,0,2,3,49,81,14,25,7
12,MO,02416,CLAY COUNTY PARK,0,4,6,0,2,0,2,1,5,0,0
12,MO,02420,CLAY CNTY DRUG TA,0,0,0,0,0,0,0,0,0,0,0
12,MO,02501,CAMERON,4898,18,73,0,4,0,14,1,61,2,2
12,MO,02502,GOWER,1463,0,18,0,0,0,0,3,15,0,0
12,MO,02503,HOLT,76,0,0,0,0,0,0,0,0,0,0
12,MO,02504,LATHROP,252,17,2,0,0,0,17,8,11,1,0
12,MO,02505,PLATTSBURG,2285,7,45,0,0,0,7,7,37,1,0
10,MO,02507,TRIMBLE,632,6,3,0,1,2,3,0,3,0,0
12,MO,02500,CLINTON,9145,69,82,0,0,2,67,24,46,12,4
12,MO,02601,JEFFERSON CITY,4335,133,133,1,6,25,11,166,1133,31,4
12,MO,02617,CAPITOL POLICE,0,1,16,0,0,0,1,1,15,0,0
12,MO,02618,LINCOLN UNIVERSITY,0,4,86,0,2,0,2,2,83,1,1
12,MO,02600,COLE,33582,3,252,2,2,2,24,68,167,17,1
12,MO,02701,BOONVILLE,8388,17,312,0,0,2,15,28,276,8,1
12,MO,02705,PILOT GROVE,769,0,6,0,0,0,0,1,5,0,0
12,MO,02700,COOPER,8526,3,9,0,0,1,2,23,66,1,0
12,MO,02801,BOURBON,1617,8,34,0,1,0,7,1,23,1,0
12,MO,02802,CUBA,3376,9,157,0,2,0,7,18,134,5,1
12,MO,02803,STEELVILLE,176,2,81,0,0,0,2,23,57,1,0
12,MO,02806,LEASBURG,33,0,0,0,0,0,0,0,0,0,1
12,MO,02810,SULLIVAN,1475,4,84,0,0,1,3,15,65,4,0
12,MO,02800,CRAWFORD,1651,19,36,2,2,1,14,111,169,26,0
12,MO,02901,GREENFIELD,135,2,19,0,0,0,2,6,13,0,0
02,MO,02906,EVERTON,31,0,0,0,0,0,0,0,0,0,0
11,MO,02900,DADE,517,1,81,1,0,0,9,32,42,7,2
12,MO,03001,BUFFALO,364,12,94,0,0,1,11,19,74,1,0
12,MO,03002,URBANA,41,2,1,0,0,0,2,0,1,0,0
12,MO,03000,DALLAS,1331,52,148,0,2,0,5,49,92,7,0
11,MO,03101,GALLATIN,1755,5,1,0,2,1,2,1,9,0,0
12,MO,03100,DAVIESS,659,5,59,0,0,0,5,29,28,2,5
12,MO,02501,CAMERON,4953,2,75,0,5,1,14,1,62,3,2
12,MO,03201,MAYSVILLE,117,3,5,0,0,1,2,0,5,0,0
12,MO,03203,STEWARTSVILLE,748,0,0,0,0,0,0,0,0,0,0
12,MO,03200,DE KALB,638,13,7,0,1,0,12,28,36,6,1
12,MO,03301,SALEM,52,5,22,0,2,0,3,32,183,5,0
12,MO,03300,DENT,1732,7,74,0,2,0,5,35,29,1,0
12,MO,03401,AVA,2964,6,19,0,0,0,6,8,95,6,0
12,MO,03400,DOUGLAS,1534,17,74,0,1,0,16,27,41,6,3
12,MO,03501,CAMPBELL,1967,1,77,0,0,0,1,13,59,5,0
03,MO,03502,CARDWELL,72,0,1,0,0,0,0,0,1,0,0
12,MO,03503,CLARKTON,1261,11,22,0,0,0,11,3,18,1,0
09,MO,03504,HORNERSVILLE,656,0,0,0,0,0,0,0,0,0,0
12,MO,03505,KENNETT,1912,96,966,2,4,11,79,219,721,26,3
12,MO,03506,MALDEN,423,19,77,1,1,2,15,27,48,2,0
12,MO,03507,SENATH,1752,0,1,0,0,0,0,0,0,1,0
12,MO,03508,HOLCOMB,628,0,0,0,0,0,0,0,0,0,0
02,MO,03509,ARBYRD,52,0,0,0,0,0,0,0,0,0,0
12,MO,03500,DUNKLIN,98,22,214,0,3,0,19,5,145,19,4
12,MO,02810,SULLIVAN,5595,17,319,0,2,4,11,58,248,13,0
12,MO,03602,GERALD,1323,2,14,0,0,0,2,5,7,2,0
12,MO,03603,NEW HAVEN,299,3,33,0,1,0,2,2,3,1,0
12,MO,03604,PACIFIC,62,19,134,2,1,1,15,23,13,8,0
12,MO,03605,ST. CLAIR,477,16,35,0,1,1,14,32,33,15,0
12,MO,03607,UNION,1645,32,551,0,0,4,28,73,444,34,1
12,MO,03608,WASHINGTON,1443,13,472,0,2,1,1,64,42,6,0
12,MO,03617,MIRAMIGUOA,12,0,3,0,0,0,0,2,0,1,0
12,MO,03600,FRANKLIN,5747,81,486,0,2,1,78,133,298,55,2
12,MO,03702,HERMANN,2379,6,43,0,1,0,5,8,34,1,0
12,MO,03703,OWENSVILLE,2612,1,8,0,0,0,1,0,7,1,0
12,MO,03704,ROSEBUD,49,0,0,0,0,0,0,0,0,0,0
12,MO,03700,GASCONADE,9439,7,126,0,0,0,7,63,58,5,0
12,MO,03802,KING CITY,12,1,0,0,0,0,1,0,0,0,0
12,MO,03800,GENTRY,5774,0,32,0,0,0,0,14,16,2,0
12,MO,03903,SPRINGFIELD,165278,1961,12638,16,265,39,129,1814,959,1315,49
11,MO,03901,ASH GROVE,1484,2,17,0,0,0,2,3,14,0,0
12,MO,03902,REPUBLIC,1575,29,32,0,6,0,23,44,257,19,0
12,MO,03904,WALNUT GROVE,738,0,1,0,0,0,0,0,0,1,0
12,MO,03905,BATTLEFIELD,5945,1,94,0,1,0,0,24,67,3,0
12,MO,03907,FAIR GROVE,1425,0,25,0,0,0,0,9,16,0,0
12,MO,03908,STRAFFORD,2373,6,88,0,1,1,4,16,69,3,0
12,MO,03909,WILLARD,5514,6,86,1,1,0,4,7,7,9,0
12,MO,03914,SPRINGFIELD-BRANSON,0,1,3,0,0,0,1,0,2,1,0
12,MO,11306,ROGERSVILLE,34,0,5,0,0,0,0,1,4,0,0
12,MO,03900,GREENE,8764,44,1275,1,14,12,17,388,744,143,11
09,MO,03918,SPRNGFLD-GREENE C,0,0,1,0,0,0,0,5,5,0,0
12,MO,04001,TRENTON,668,7,128,1,1,1,4,32,91,5,0
12,MO,04000,GRUNDY,4323,0,29,0,0,0,0,17,11,1,0
12,MO,04101,BETHANY,3182,6,68,0,5,0,1,1,52,6,0
12,MO,04100,HARRISON,5518,0,44,0,0,0,0,17,23,4,0
12,MO,04201,CLINTON,932,31,517,1,2,5,23,118,374,25,0
12,MO,04202,DEEPWATER,423,0,0,0,0,0,0,0,0,0,0
12,MO,04200,HENRY,12584,24,258,0,5,0,19,95,148,15,1
12,MO,04300,HICKORY,9234,2,113,0,0,0,2,6,39,14,0
12,MO,04404,MOUND CITY,165,1,19,0,0,0,1,4,12,3,0
12,MO,04405,OREGON,78,0,3,0,0,0,0,1,1,1,0
12,MO,04400,HOLT,2649,1,5,0,0,0,1,17,29,4,1
12,MO,04501,FAYETTE,2744,3,52,0,1,0,2,11,4,1,1
12,MO,04502,GLASGOW,188,0,2,0,0,0,0,0,2,0,0
12,MO,04503,NEW FRANKLIN,114,3,29,0,0,0,3,11,17,1,0
12,MO,04500,HOWARD,5366,3,48,1,0,0,2,4,35,9,3
12,MO,04601,MOUNTAIN VIEW,274,2,118,0,0,1,19,24,87,7,0
12,MO,04602,WEST PLAINS,12321,34,724,1,2,5,26,92,598,34,0
12,MO,04603,WILLOW SPRINGS,2173,8,7,1,1,0,6,9,54,7,0
12,MO,04600,HOWELL,23188,26,327,0,0,2,24,114,184,29,4
12,MO,04701,IRONTON,1416,0,19,0,0,0,0,5,13,1,0
12,MO,04702,PILOT KNOB,725,1,5,0,0,0,1,1,4,0,0
12,MO,04703,ANNAPOLIS,345,0,0,0,0,0,0,0,0,0,0
12,MO,04705,VIBURNUM,674,0,1,0,0,0,0,2,7,1,1
12,MO,04700,IRON,7135,36,89,1,1,2,32,35,43,11,1
12,MO,01905,PLEASANT HILL,6,0,0,0,0,0,0,0,0,0,0
12,MO,04801,BLUE SPRINGS,5344,84,1372,2,17,21,44,224,132,116,1
12,MO,04802,BUCKNER,371,4,53,0,3,1,0,11,39,3,0
12,MO,04803,GRAIN VALLEY,13188,14,26,0,6,0,8,33,147,26,1
12,MO,04804,GRANDVIEW,25512,82,854,3,7,23,49,191,544,119,5
12,MO,04805,GREENWOOD,5427,8,33,0,2,1,5,5,26,2,0
12,MO,04806,INDEPENDENCE,117321,476,6582,3,43,126,34,1128,4616,838,25
12,MO,04807,LAKE LOTAWANA,1954,1,53,0,1,0,0,12,37,4,0
12,MO,04808,LEE'S SUMMIT,91625,81,176,2,19,19,41,24,1418,12,0
12,MO,04809,OAK GROVE,7766,14,161,0,3,0,11,35,117,9,0
12,MO,04810,RAYTOWN,2952,118,1243,3,1,36,69,267,865,111,6
12,MO,04811,SUGAR CREEK,3337,16,171,0,3,3,1,3,114,27,0
12,MO,04812,LONE JACK,177,0,8,0,0,0,0,2,6,0,0
12,MO,04813,LAKE TAPAWINGO,729,0,8,0,0,0,0,1,5,2,0
12,MO,04819,METROPOLITAN COMMNT,0,0,78,0,0,0,0,4,72,2,1
12,MO,04820,UNIV OF MO: KANSAS,0,3,12,0,1,1,1,43,76,1,0
12,MO,04800,JACKSON,23848,54,574,0,4,12,38,199,319,56,3
12,MO,04823,JACKSON COUNTY PA,0,0,0,0,0,0,0,0,0,0,0
12,MO,04827,JACKSON COUNTY DR,0,0,0,0,0,0,0,0,0,0,0
12,MO,04907,JOPLIN,43713,225,3413,3,42,53,127,529,263,254,18
12,MO,04901,CARL JUNCTION,7571,3,139,0,0,0,3,42,88,9,2
12,MO,04902,CARTERVILLE,1835,7,55,0,0,1,6,13,26,16,3
12,MO,04903,CARTHAGE,14185,27,557,0,6,8,13,71,46,26,3
12,MO,04904,JASPER,93,6,16,0,1,0,5,6,1,0,1
11,MO,04905,SARCOXIE,129,4,29,0,0,0,4,1,16,3,0
12,MO,04906,WEBB CITY,1977,1,631,0,4,1,5,37,567,27,4
12,MO,04914,DUENWEG,134,1,32,0,0,0,1,2,27,3,0
12,MO,04915,DUQUESNE,1723,5,59,0,0,0,5,9,47,3,0
12,MO,04921,ORONOGO,2333,0,21,0,0,0,0,1,18,2,0
12,MO,04922,PURCELL,393,1,0,0,0,0,1,0,0,0,0
12,MO,04928,MO SOUTHERN STATE U,0,1,24,0,1,0,0,5,19,0,2
12,MO,04900,JASPER,29968,187,569,0,12,6,169,29,32,58,7
12,MO,05001,CRYSTAL CITY,4851,22,215,0,2,4,16,2,187,8,0
12,MO,05002,DE SOTO,649,17,264,0,2,3,12,27,22,17,0
12,MO,05003,FESTUS,11883,61,243,0,3,6,52,37,191,15,0
12,MO,05004,HILLSBORO,317,17,59,0,3,0,14,1,48,1,0
12,MO,05005,KIMMSWICK,158,1,0,0,0,0,1,0,0,0,0
12,MO,05006,PEVELY,5587,1,111,0,3,0,7,11,92,8,0
12,MO,05007,ARNOLD,2127,3,784,0,3,8,19,53,715,16,1
12,MO,05008,HERCULANEUM,386,5,62,0,0,0,5,8,53,1,0
12,MO,05015,BYRNES MILL,2789,0,22,0,0,0,0,3,17,2,0
12,MO,05019,JEFFERSON COLLEGE,0,1,14,0,0,0,1,4,9,1,0
12,MO,05000,JEFFERSON,162392,32,1953,2,67,16,235,342,1445,166,9
12,MO,05101,HOLDEN,2329,3,119,0,0,0,3,24,9,5,0
12,MO,05102,KNOB NOSTER,281,3,81,0,0,0,3,3,49,2,1
12,MO,05103,WARRENSBURG,219,47,645,0,11,1,26,143,441,61,3
12,MO,05104,UNIV OF CENTRAL MIS,0,19,152,0,3,0,16,11,136,5,0
12,MO,05100,JOHNSON,29795,21,27,0,7,0,14,12,135,15,0
12,MO,05202,EDINA,1148,0,14,0,0,0,0,4,8,2,0
12,MO,05200,KNOX,291,0,25,0,0,0,0,8,14,3,0
12,MO,05301,CONWAY,788,2,4,0,0,0,2,0,4,0,0
12,MO,05302,LEBANON,14818,55,631,1,2,1,51,74,535,22,2
12,MO,08503,RICHLAND,126,0,4,0,0,0,0,1,3,0,0
